x_LiConc, GrandPotential, u, -u
0.55250000, 4.75349412, -1.14250000, 1.14250000
0.55300000, 4.75349412, -1.14250000, 1.14250000
0.55350000, 4.75349412, -1.14250000, 1.14250000
0.55400000, 4.75349412, -1.14250000, 1.14250000
0.55450000, 4.75349412, -1.14250000, 1.14250000
0.55500000, 4.75349412, -1.14250000, 1.14250000
0.55550000, 4.75349412, -1.14250000, 1.14250000
0.55600000, 4.75349412, -1.14250000, 1.14250000
0.55650000, 4.75349412, -1.14250000, 1.14250000
0.55700000, 4.75349412, -1.14250000, 1.14250000
0.55750000, 4.75349412, -1.14250000, 1.14250000
0.55800000, 4.75349412, -1.14250000, 1.14250000
0.55850000, 4.75210002, -1.14000000, 1.14000000
0.55900000, 4.75210002, -1.14000000, 1.14000000
0.55950000, 4.75210002, -1.14000000, 1.14000000
0.56000000, 4.75210002, -1.14000000, 1.14000000
0.56050000, 4.75210002, -1.14000000, 1.14000000
0.56100000, 4.75210002, -1.14000000, 1.14000000
0.56150000, 4.75210002, -1.14000000, 1.14000000
0.56200000, 4.75210002, -1.14000000, 1.14000000
0.56250000, 4.75210002, -1.14000000, 1.14000000
0.56300000, 4.75210002, -1.14000000, 1.14000000
0.56350000, 4.75210002, -1.14000000, 1.14000000
0.56400000, 4.75210002, -1.14000000, 1.14000000
0.56450000, 4.75210002, -1.14000000, 1.14000000
0.56500000, 4.75210002, -1.14000000, 1.14000000
0.56550000, 4.75210002, -1.14000000, 1.14000000
0.56600000, 4.75210002, -1.14000000, 1.14000000
0.56650000, 4.75210002, -1.14000000, 1.14000000
0.56700000, 4.75210002, -1.14000000, 1.14000000
0.56750000, 4.75210002, -1.14000000, 1.14000000
0.56800000, 4.75210002, -1.14000000, 1.14000000
0.56850000, 4.75210002, -1.14000000, 1.14000000
0.56900000, 4.75210002, -1.14000000, 1.14000000
0.56950000, 4.75210002, -1.14000000, 1.14000000
0.57000000, 4.75210002, -1.14000000, 1.14000000
0.57050000, 4.75210002, -1.14000000, 1.14000000
0.57100000, 4.75210002, -1.14000000, 1.14000000
0.57150000, 4.75210002, -1.14000000, 1.14000000
0.57200000, 4.75210002, -1.14000000, 1.14000000
0.57250000, 4.75210002, -1.14000000, 1.14000000
0.57300000, 4.75210002, -1.14000000, 1.14000000
0.57350000, 4.75210002, -1.14000000, 1.14000000
0.57400000, 4.75210002, -1.14000000, 1.14000000
0.57450000, 4.75210002, -1.14000000, 1.14000000
0.57500000, 4.75210002, -1.14000000, 1.14000000
0.57550000, 4.75210002, -1.14000000, 1.14000000
0.57600000, 4.75210002, -1.14000000, 1.14000000
0.57650000, 4.75210002, -1.14000000, 1.14000000
0.57700000, 4.75210002, -1.14000000, 1.14000000
0.57750000, 4.75065793, -1.13750000, 1.13750000
0.57800000, 4.75065793, -1.13750000, 1.13750000
0.57850000, 4.75065793, -1.13750000, 1.13750000
0.57900000, 4.75065793, -1.13750000, 1.13750000
0.57950000, 4.75065793, -1.13750000, 1.13750000
0.58000000, 4.75065793, -1.13750000, 1.13750000
0.58050000, 4.75065793, -1.13750000, 1.13750000
0.58100000, 4.75065793, -1.13750000, 1.13750000
0.58150000, 4.75065793, -1.13750000, 1.13750000
0.58200000, 4.75065793, -1.13750000, 1.13750000
0.58250000, 4.75065793, -1.13750000, 1.13750000
0.58300000, 4.75065793, -1.13750000, 1.13750000
0.58350000, 4.75065793, -1.13750000, 1.13750000
0.58400000, 4.75065793, -1.13750000, 1.13750000
0.58450000, 4.75065793, -1.13750000, 1.13750000
