taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
1048,-15919.71053080,0.00000004,19.504602,20.314120,19.135904,89.959631,90.006691,90.289812,7581.906381,6.624122,21.71699,21.66957,20.91082,21.432460000000003,3.97625,3.97055,3.96171,3.9695033333333334,141.66353,63.18622,162.17271,223.0664,94.2251,70.2619,-29.428344649999996,0,21.40928741875,3.753766811516292e-110,3.7535653630152564e-110
1049,-15924.24789515,0.00000001,19.501128,20.270565,19.141908,90.059166,90.003390,90.074997,7566.764232,6.637377,21.32604,21.01957,20.84502,21.06354333333333,3.96055,3.98862,3.97588,3.975016666666667,149.04634,65.17561,164.68352,231.9799,101.7569,69.5207,-29.481508812499992,-39.996145180000006,21.42179993750001,6.292649231674174e-34,6.292311532286089e-34
105,-15919.08429265,0.00000013,19.567643,20.247746,19.132925,90.255495,89.848969,90.329429,7580.251051,6.625568,20.73965,21.92489,21.48552,21.383353333333332,3.92113,3.97129,3.94040,3.9442733333333333,143.95683,63.43533,158.53734,219.7025,100.1119,68.8180,-29.511999262499995,-39.98467664999998,21.453805637499997,1.1327378162864829e-120,1.1326770271254574e-120
1050,-15919.71474489,0.00000021,19.512146,20.278122,19.161676,89.829962,89.945836,90.481198,7581.389585,6.624573,21.10305,21.68003,20.68832,21.157133333333334,3.95632,3.95682,3.94475,3.9526300000000005,146.86338,65.22162,168.63393,233.0257,102.4525,68.5069,-29.481508812499992,-39.996145180000006,21.42179993750001,4.418357842244729e-110,4.4181207280048064e-110
1051,-15919.18122446,0.00000029,19.593708,20.254216,19.097778,90.288748,90.059831,89.475090,7578.634544,6.626981,21.77574,21.00925,20.96122,21.24873666666667,3.93909,3.95197,3.98622,3.9590933333333336,144.60852,63.91138,164.81745,230.0254,101.6120,70.0035,-29.479362375,-40.0050992,21.427502684375003,4.8140670848404684e-119,4.8138087345894215e-119
1052,-15915.62548107,0.00005612,19.530652,20.305598,19.124276,90.067183,90.030203,90.115227,7584.313855,6.622019,21.64628,21.43193,22.76246,21.94689,3.94711,3.94198,3.93270,3.9405966666666665,146.43790,63.33935,164.56955,231.5006,104.1141,70.8291,-29.41081041249999,0,0,8.8848937640838e-179,8.884416950093878e-179
1053,-15918.50812149,0.00003905,19.582636,20.321583,19.031913,90.153184,89.971476,89.786449,7573.672093,6.631324,20.67202,21.10436,21.64333,21.139903333333333,3.92416,3.93128,3.98003,3.945156666666667,147.83148,65.27554,163.41670,227.0228,98.6939,71.3202,0,-40.01997946,0,2.3707181372952184e-130,2.3705909110611136e-130
1054,-15916.89305728,0.00000035,19.535010,20.303625,19.152971,90.099675,90.068976,89.808547,7596.612581,6.611298,21.72667,20.67172,21.14086,21.17975,3.90134,3.91339,3.90949,3.908073333333333,146.65369,63.47904,159.50560,228.3835,105.0488,64.9661,0,-39.991406590000004,21.442211840625,1.7498279291335867e-157,1.749734023403398e-157
1055,-15916.22144792,0.00002170,19.511525,20.294621,19.099804,90.161461,89.746488,90.278738,7562.928036,6.640744,21.54504,22.34800,21.42193,21.77165666666667,3.99732,3.97087,4.02782,3.99867,146.22633,63.67802,166.56735,231.5719,99.1355,69.5292,-29.472265424999982,-40.016969590000016,21.40071733125,9.129661427310718e-169,9.129171477694281e-169
1056,-15917.38232292,0.00000025,19.595598,20.206041,19.141757,89.972311,89.882618,90.019181,7579.150857,6.626530,21.51179,20.75649,21.10975,21.12601,3.93971,3.93407,3.95744,3.94374,143.77127,63.69573,156.51166,219.7443,96.4499,68.3926,-29.366454312499997,0,21.44082655312501,2.89932127086824e-149,2.8991656767801244e-149
1057,-15917.87775660,0.00000181,19.531635,20.267576,19.124485,90.167829,89.932735,90.047952,7570.557619,6.634052,21.34911,21.98401,22.43961,21.924243333333333,3.96504,3.93020,3.98794,3.96106,151.75916,64.86572,159.16930,232.2386,109.9953,68.6211,-29.486202125,0,21.413469465624992,6.098399215666075e-141,6.098071940839907e-141
1058,-15916.10672216,0.00000007,19.459570,20.322603,19.145756,89.836516,89.614182,90.067076,7571.347426,6.633360,20.85957,20.93089,20.44662,20.745693333333335,3.96190,3.94593,3.93048,3.9461033333333333,145.33712,64.35410,162.50264,230.3985,101.7663,69.5246,-29.459538525,-40.01997946,0,1.0793113156017527e-170,1.0792533936109642e-170
1059,-15916.00387514,0.00000003,19.561939,20.242480,19.165390,90.008700,90.051137,89.805546,7589.105631,6.617838,21.14170,20.91038,21.62376,21.22528,3.95326,3.97692,3.95417,3.9614499999999997,145.56270,63.78396,164.20514,230.0944,103.2100,64.2039,-29.44671421249999,-40.00565153999999,0,2.0201928864562202e-172,2.0200844714029646e-172
106,-15914.27394708,0.00003114,19.521498,20.285569,19.140998,89.927043,89.667898,89.976984,7579.790669,6.625971,22.32631,23.88908,21.34756,22.520983333333334,3.97169,3.96190,3.98438,3.972656666666667,145.27401,63.36940,169.71872,235.6767,98.5054,68.3609,-29.45521025000001,0,0,1.753398002922814e-201,1.7533039056021377e-201
